id_site,code_module,code_presentation,activity_type,week_from,week_to
546732,AAA,2013J,oucontent,2.0,2.0
546719,AAA,2013J,oucontent,1.0,1.0
546681,AAA,2013J,oucontent,1.0,1.0
877040,AAA,2014J,oucontent,2.0,2.0
877045,AAA,2014J,oucontent,1.0,1.0
877044,AAA,2014J,oucontent,1.0,1.0
704084,BBB,2013J,resource,9.0,9.0
703951,BBB,2013J,subpage,11.0,11.0
704116,BBB,2013J,resource,22.0,22.0
704081,BBB,2013J,resource,6.0,6.0
703948,BBB,2013J,subpage,8.0,8.0
704113,BBB,2013J,resource,19.0,19.0
704078,BBB,2013J,resource,4.0,4.0
703945,BBB,2013J,subpage,4.0,4.0
704110,BBB,2013J,resource,15.0,15.0
704107,BBB,2013J,resource,14.0,14.0
704075,BBB,2013J,resource,4.0,4.0
704238,BBB,2013J,url,25.0,25.0
704104,BBB,2013J,resource,14.0,14.0
704071,BBB,2013J,resource,1.0,1.0
704235,BBB,2013J,url,20.0,20.0
703965,BBB,2013J,subpage,27.0,27.0
704232,BBB,2013J,url,16.0,16.0
703962,BBB,2013J,subpage,24.0,24.0
704228,BBB,2013J,url,3.0,3.0
703959,BBB,2013J,subpage,21.0,21.0
703956,BBB,2013J,subpage,18.0,18.0
704121,BBB,2013J,resource,26.0,26.0
704086,BBB,2013J,resource,10.0,10.0
703953,BBB,2013J,subpage,14.0,14.0
704118,BBB,2013J,resource,24.0,24.0
704083,BBB,2013J,resource,8.0,8.0
703950,BBB,2013J,subpage,10.0,10.0
704115,BBB,2013J,resource,21.0,21.0
704080,BBB,2013J,resource,5.0,5.0
703947,BBB,2013J,subpage,6.0,6.0
704112,BBB,2013J,resource,18.0,18.0
703944,BBB,2013J,subpage,2.0,2.0
704109,BBB,2013J,resource,15.0,15.0
704077,BBB,2013J,resource,4.0,4.0
704240,BBB,2013J,url,28.0,28.0
704106,BBB,2013J,resource,14.0,14.0
704074,BBB,2013J,resource,2.0,2.0
704103,BBB,2013J,resource,14.0,14.0
704237,BBB,2013J,url,23.0,23.0
703900,BBB,2013J,oucontent,1.0,1.0
704234,BBB,2013J,url,16.0,16.0
703964,BBB,2013J,subpage,26.0,26.0
704231,BBB,2013J,url,15.0,15.0
703961,BBB,2013J,subpage,23.0,23.0
703958,BBB,2013J,subpage,20.0,20.0
704088,BBB,2013J,resource,13.0,13.0
703955,BBB,2013J,subpage,16.0,16.0
704120,BBB,2013J,resource,25.0,25.0
704217,BBB,2013J,resource,1.0,1.0
704085,BBB,2013J,resource,9.0,9.0
703952,BBB,2013J,subpage,13.0,13.0
704117,BBB,2013J,resource,23.0,23.0
704082,BBB,2013J,resource,8.0,8.0
703949,BBB,2013J,subpage,9.0,9.0
704114,BBB,2013J,resource,20.0,20.0
704079,BBB,2013J,resource,5.0,5.0
703946,BBB,2013J,subpage,5.0,5.0
704111,BBB,2013J,resource,16.0,16.0
703943,BBB,2013J,subpage,1.0,1.0
704108,BBB,2013J,resource,15.0,15.0
704076,BBB,2013J,resource,4.0,4.0
704239,BBB,2013J,url,27.0,27.0
704105,BBB,2013J,resource,14.0,14.0
704073,BBB,2013J,resource,2.0,2.0
704102,BBB,2013J,resource,14.0,14.0
704236,BBB,2013J,url,22.0,22.0
703966,BBB,2013J,subpage,28.0,28.0
704233,BBB,2013J,url,16.0,16.0
703963,BBB,2013J,subpage,25.0,25.0
703960,BBB,2013J,subpage,22.0,22.0
704125,BBB,2013J,resource,28.0,28.0
703957,BBB,2013J,subpage,19.0,19.0
704122,BBB,2013J,resource,27.0,27.0
704087,BBB,2013J,resource,11.0,11.0
703954,BBB,2013J,subpage,15.0,15.0
704215,BBB,2013J,resource,1.0,1.0
768417,BBB,2014B,subpage,27.0,27.0
768414,BBB,2014B,subpage,23.0,23.0
768786,BBB,2014B,url,27.0,27.0
768411,BBB,2014B,subpage,19.0,19.0
768618,BBB,2014B,resource,28.0,28.0
768478,BBB,2014B,resource,4.0,4.0
768650,BBB,2014B,resource,27.0,27.0
768408,BBB,2014B,subpage,15.0,15.0
768475,BBB,2014B,resource,1.0,1.0
768777,BBB,2014B,url,15.0,15.0
768405,BBB,2014B,subpage,12.0,12.0
768472,BBB,2014B,resource,1.0,1.0
768774,BBB,2014B,url,15.0,15.0
768402,BBB,2014B,subpage,8.0,8.0
768399,BBB,2014B,subpage,4.0,4.0
768396,BBB,2014B,subpage,1.0,1.0
768664,BBB,2014B,resource,5.0,5.0
768551,BBB,2014B,resource,14.0,14.0
768416,BBB,2014B,subpage,25.0,25.0
768623,BBB,2014B,resource,22.0,22.0
768655,BBB,2014B,resource,13.0,13.0
768545,BBB,2014B,resource,14.0,14.0
768413,BBB,2014B,subpage,22.0,22.0
768614,BBB,2014B,resource,8.0,8.0
768620,BBB,2014B,resource,9.0,9.0
768785,BBB,2014B,url,28.0,28.0
768410,BBB,2014B,subpage,18.0,18.0
768477,BBB,2014B,resource,3.0,3.0
768779,BBB,2014B,url,2.0,2.0
768407,BBB,2014B,subpage,14.0,14.0
768474,BBB,2014B,resource,1.0,1.0
768776,BBB,2014B,url,15.0,15.0
768536,BBB,2014B,resource,1.0,1.0
768404,BBB,2014B,subpage,10.0,10.0
768643,BBB,2014B,resource,24.0,24.0
768773,BBB,2014B,url,19.0,19.0
768401,BBB,2014B,subpage,7.0,7.0
768640,BBB,2014B,resource,25.0,25.0
768530,BBB,2014B,resource,13.0,13.0
768398,BBB,2014B,subpage,3.0,3.0
768592,BBB,2014B,resource,17.0,17.0
768663,BBB,2014B,resource,7.0,7.0
768521,BBB,2014B,resource,8.0,8.0
768517,BBB,2014B,resource,12.0,12.0
768418,BBB,2014B,subpage,27.0,27.0
768415,BBB,2014B,subpage,24.0,24.0
768511,BBB,2014B,resource,3.0,3.0
768787,BBB,2014B,url,25.0,25.0
768412,BBB,2014B,subpage,20.0,20.0
768619,BBB,2014B,resource,20.0,20.0
768479,BBB,2014B,resource,4.0,4.0
768409,BBB,2014B,subpage,17.0,17.0
768575,BBB,2014B,resource,19.0,19.0
768476,BBB,2014B,resource,3.0,3.0
768778,BBB,2014B,url,14.0,14.0
768406,BBB,2014B,subpage,13.0,13.0
768572,BBB,2014B,resource,15.0,15.0
768607,BBB,2014B,resource,18.0,18.0
768473,BBB,2014B,resource,1.0,1.0
768775,BBB,2014B,url,22.0,22.0
768535,BBB,2014B,resource,13.0,13.0
768403,BBB,2014B,subpage,9.0,9.0
768772,BBB,2014B,url,23.0,23.0
768400,BBB,2014B,subpage,5.0,5.0
768499,BBB,2014B,resource,3.0,3.0
768529,BBB,2014B,resource,27.0,27.0
768397,BBB,2014B,subpage,1.0,1.0
768431,BBB,2014B,subpage,28.0,28.0
768597,BBB,2014B,resource,7.0,7.0
768668,BBB,2014B,resource,13.0,13.0
768559,BBB,2014B,resource,14.0,14.0
768383,BBB,2014B,oucontent,1.0,1.0
768630,BBB,2014B,resource,23.0,23.0
768662,BBB,2014B,resource,13.0,13.0
768519,BBB,2014B,resource,13.0,13.0
768659,BBB,2014B,resource,10.0,10.0
913661,BBB,2014J,resource,4.0,4.0
913486,BBB,2014J,oucontent,9.0,9.0
913520,BBB,2014J,oucontent,6.0,6.0
913483,BBB,2014J,oucontent,9.0,9.0
913479,BBB,2014J,oucontent,4.0,4.0
913476,BBB,2014J,oucontent,2.0,2.0
913511,BBB,2014J,oucontent,5.0,5.0
913537,BBB,2014J,oucontent,4.0,4.0
926333,BBB,2014J,quiz,7.0,7.0
913533,BBB,2014J,oucontent,6.0,6.0
913528,BBB,2014J,oucontent,2.0,2.0
913664,BBB,2014J,resource,5.0,5.0
913525,BBB,2014J,oucontent,4.0,4.0
913485,BBB,2014J,oucontent,9.0,9.0
913519,BBB,2014J,oucontent,6.0,6.0
913482,BBB,2014J,oucontent,9.0,9.0
913478,BBB,2014J,oucontent,2.0,2.0
913475,BBB,2014J,oucontent,2.0,2.0
913676,BBB,2014J,resource,9.0,9.0
913504,BBB,2014J,oucontent,5.0,5.0
913535,BBB,2014J,oucontent,1.0,1.0
913669,BBB,2014J,resource,2.0,2.0
913532,BBB,2014J,oucontent,9.0,9.0
913666,BBB,2014J,resource,6.0,6.0
913524,BBB,2014J,oucontent,5.0,5.0
913657,BBB,2014J,resource,2.0,2.0
913521,BBB,2014J,oucontent,5.0,5.0
913616,BBB,2014J,resource,4.0,4.0
913481,BBB,2014J,oucontent,6.0,6.0
913477,BBB,2014J,oucontent,2.0,2.0
913681,BBB,2014J,resource,9.0,9.0
913474,BBB,2014J,oucontent,2.0,2.0
913534,BBB,2014J,oucontent,2.0,2.0
913740,BBB,2014J,url,3.0,3.0
729819,CCC,2014B,oucontent,1.0,2.0
729797,CCC,2014B,oucontent,1.0,2.0
729813,CCC,2014B,oucontent,5.0,7.0
729844,CCC,2014B,oucontent,3.0,4.0
729810,CCC,2014B,oucontent,8.0,9.0
909077,CCC,2014J,oucontent,3.0,4.0
909066,CCC,2014J,oucontent,5.0,7.0
909060,CCC,2014J,oucontent,1.0,2.0
909071,CCC,2014J,oucontent,1.0,2.0
909068,CCC,2014J,oucontent,8.0,9.0
773452,DDD,2014B,url,0.0,0.0
813933,DDD,2014J,oucontent,0.0,0.0
551052,EEE,2013J,oucontent,22.0,22.0
551043,EEE,2013J,oucontent,25.0,25.0
551039,EEE,2013J,oucontent,19.0,19.0
551066,EEE,2013J,oucontent,2.0,2.0
551032,EEE,2013J,oucontent,13.0,13.0
551028,EEE,2013J,oucontent,26.0,26.0
551060,EEE,2013J,oucontent,10.0,10.0
551024,EEE,2013J,oucontent,7.0,7.0
551048,EEE,2013J,oucontent,3.0,3.0
551045,EEE,2013J,oucontent,6.0,6.0
551041,EEE,2013J,oucontent,18.0,18.0
551038,EEE,2013J,oucontent,17.0,17.0
551068,EEE,2013J,oucontent,14.0,14.0
551035,EEE,2013J,oucontent,23.0,23.0
551065,EEE,2013J,oucontent,1.0,1.0
551031,EEE,2013J,oucontent,12.0,12.0
551062,EEE,2013J,oucontent,27.0,27.0
551027,EEE,2013J,oucontent,9.0,9.0
551056,EEE,2013J,oucontent,15.0,15.0
551053,EEE,2013J,oucontent,1.0,1.0
551050,EEE,2013J,oucontent,5.0,5.0
551070,EEE,2013J,oucontent,11.0,11.0
551037,EEE,2013J,oucontent,24.0,24.0
551067,EEE,2013J,oucontent,4.0,4.0
551061,EEE,2013J,oucontent,8.0,8.0
551021,EEE,2013J,oucontent,20.0,20.0
790822,EEE,2014B,oucontent,19.0,19.0
790861,EEE,2014B,oucontent,14.0,14.0
790819,EEE,2014B,oucontent,9.0,9.0
790854,EEE,2014B,oucontent,6.0,6.0
790815,EEE,2014B,oucontent,12.0,12.0
790812,EEE,2014B,oucontent,15.0,15.0
790846,EEE,2014B,oucontent,20.0,20.0
790843,EEE,2014B,oucontent,24.0,24.0
790833,EEE,2014B,oucontent,11.0,11.0
790824,EEE,2014B,oucontent,5.0,5.0
790821,EEE,2014B,oucontent,18.0,18.0
790856,EEE,2014B,oucontent,13.0,13.0
790853,EEE,2014B,oucontent,3.0,3.0
790848,EEE,2014B,oucontent,10.0,10.0
790845,EEE,2014B,oucontent,17.0,17.0
790838,EEE,2014B,oucontent,7.0,7.0
790835,EEE,2014B,oucontent,1.0,1.0
790829,EEE,2014B,oucontent,26.0,26.0
790823,EEE,2014B,oucontent,4.0,4.0
790820,EEE,2014B,oucontent,2.0,2.0
790855,EEE,2014B,oucontent,25.0,25.0
790816,EEE,2014B,oucontent,23.0,23.0
790813,EEE,2014B,oucontent,22.0,22.0
790810,EEE,2014B,oucontent,27.0,27.0
790837,EEE,2014B,oucontent,8.0,8.0
790834,EEE,2014B,oucontent,1.0,1.0
832664,EEE,2014J,oucontent,8.0,8.0
832661,EEE,2014J,oucontent,5.0,5.0
832658,EEE,2014J,oucontent,2.0,2.0
832701,EEE,2014J,oucontent,23.0,23.0
832694,EEE,2014J,oucontent,21.0,21.0
832638,EEE,2014J,oucontent,25.0,25.0
832680,EEE,2014J,oucontent,18.0,18.0
832672,EEE,2014J,oucontent,13.0,13.0
832666,EEE,2014J,oucontent,9.0,9.0
832663,EEE,2014J,oucontent,10.0,10.0
832660,EEE,2014J,oucontent,4.0,4.0
832657,EEE,2014J,oucontent,1.0,1.0
832654,EEE,2014J,oucontent,1.0,1.0
832700,EEE,2014J,oucontent,27.0,27.0
832637,EEE,2014J,oucontent,24.0,24.0
832679,EEE,2014J,oucontent,15.0,15.0
832671,EEE,2014J,oucontent,12.0,12.0
832668,EEE,2014J,oucontent,1.0,1.0
832665,EEE,2014J,oucontent,7.0,7.0
832662,EEE,2014J,oucontent,6.0,6.0
832659,EEE,2014J,oucontent,3.0,3.0
832704,EEE,2014J,oucontent,26.0,26.0
832695,EEE,2014J,oucontent,19.0,19.0
832682,EEE,2014J,oucontent,20.0,20.0
832673,EEE,2014J,oucontent,16.0,16.0
832670,EEE,2014J,oucontent,11.0,11.0
832667,EEE,2014J,oucontent,28.0,28.0
527352,FFF,2013B,url,1.0,1.0
526855,FFF,2013B,oucontent,1.0,1.0
526845,FFF,2013B,oucontent,3.0,3.0
527360,FFF,2013B,url,3.0,3.0
527357,FFF,2013B,url,2.0,2.0
527354,FFF,2013B,url,1.0,1.0
527218,FFF,2013B,subpage,1.0,1.0
527351,FFF,2013B,url,1.0,1.0
527174,FFF,2013B,subpage,3.0,3.0
526857,FFF,2013B,oucontent,1.0,1.0
527363,FFF,2013B,resource,4.0,4.0
526756,FFF,2013B,oucontent,1.0,1.0
527359,FFF,2013B,url,3.0,3.0
526838,FFF,2013B,oucontent,2.0,2.0
527469,FFF,2013B,resource,4.0,4.0
527356,FFF,2013B,url,2.0,2.0
527147,FFF,2013B,page,1.0,1.0
527353,FFF,2013B,url,1.0,1.0
527350,FFF,2013B,url,1.0,1.0
527176,FFF,2013B,subpage,4.0,4.0
527173,FFF,2013B,subpage,2.0,2.0
526755,FFF,2013B,oucontent,1.0,1.0
526788,FFF,2013B,oucontent,2.0,2.0
527358,FFF,2013B,url,3.0,3.0
527355,FFF,2013B,url,1.0,1.0
716914,FFF,2013J,url,18.0,18.0
716385,FFF,2013J,ouwiki,19.0,19.0
716946,FFF,2013J,url,26.0,26.0
716284,FFF,2013J,oucontent,9.0,9.0
716670,FFF,2013J,subpage,25.0,25.0
716849,FFF,2013J,url,23.0,23.0
716882,FFF,2013J,url,3.0,3.0
716350,FFF,2013J,page,29.0,29.0
716911,FFF,2013J,url,18.0,18.0
716242,FFF,2013J,oucontent,16.0,16.0
716943,FFF,2013J,url,25.0,25.0
716248,FFF,2013J,oucontent,6.0,6.0
716635,FFF,2013J,subpage,7.0,7.0
716814,FFF,2013J,resource,18.0,18.0
716281,FFF,2013J,oucontent,8.0,8.0
716313,FFF,2013J,oucontent,28.0,28.0
716879,FFF,2013J,url,1.0,1.0
716347,FFF,2013J,oucontent,15.0,15.0
716908,FFF,2013J,url,18.0,18.0
716239,FFF,2013J,oucontent,1.0,1.0
716940,FFF,2013J,url,23.0,23.0
716453,FFF,2013J,questionnaire,24.0,24.0
716811,FFF,2013J,resource,18.0,18.0
716278,FFF,2013J,oucontent,15.0,15.0
716664,FFF,2013J,subpage,23.0,23.0
716843,FFF,2013J,url,27.0,27.0
716310,FFF,2013J,oucontent,28.0,28.0
716876,FFF,2013J,url,1.0,1.0
716344,FFF,2013J,oucontent,9.0,9.0
716905,FFF,2013J,url,18.0,18.0
716766,FFF,2013J,resource,27.0,27.0
716937,FFF,2013J,url,23.0,23.0
716450,FFF,2013J,questionnaire,20.0,20.0
716275,FFF,2013J,oucontent,1.0,1.0
716661,FFF,2013J,subpage,28.0,28.0
716840,FFF,2013J,url,21.0,21.0
716307,FFF,2013J,oucontent,25.0,25.0
716341,FFF,2013J,oucontent,9.0,9.0
716902,FFF,2013J,url,18.0,18.0
716370,FFF,2013J,page,29.0,29.0
716934,FFF,2013J,url,22.0,22.0
716447,FFF,2013J,questionnaire,19.0,19.0
716658,FFF,2013J,subpage,21.0,21.0
717017,FFF,2013J,dataplus,20.0,20.0
716338,FFF,2013J,oucontent,6.0,6.0
716728,FFF,2013J,resource,27.0,27.0
716899,FFF,2013J,url,18.0,18.0
716367,FFF,2013J,page,29.0,29.0
716931,FFF,2013J,url,22.0,22.0
716444,FFF,2013J,questionnaire,5.0,5.0
716963,FFF,2013J,url,28.0,28.0
716269,FFF,2013J,oucontent,22.0,22.0
716655,FFF,2013J,subpage,5.0,5.0
716301,FFF,2013J,oucontent,8.0,8.0
716335,FFF,2013J,oucontent,10.0,10.0
716364,FFF,2013J,page,27.0,27.0
716928,FFF,2013J,url,21.0,21.0
716960,FFF,2013J,url,28.0,28.0
716266,FFF,2013J,oucontent,6.0,6.0
716652,FFF,2013J,subpage,3.0,3.0
716298,FFF,2013J,oucontent,16.0,16.0
716332,FFF,2013J,oucontent,28.0,28.0
716896,FFF,2013J,url,14.0,14.0
716361,FFF,2013J,page,12.0,12.0
716925,FFF,2013J,url,21.0,21.0
716438,FFF,2013J,quiz,10.0,10.0
716957,FFF,2013J,url,27.0,27.0
716262,FFF,2013J,oucontent,29.0,29.0
716649,FFF,2013J,subpage,1.0,1.0
716295,FFF,2013J,oucontent,11.0,11.0
716328,FFF,2013J,oucontent,9.0,9.0
716893,FFF,2013J,url,14.0,14.0
716358,FFF,2013J,page,1.0,1.0
716922,FFF,2013J,url,21.0,21.0
716954,FFF,2013J,url,27.0,27.0
716259,FFF,2013J,oucontent,24.0,24.0
716646,FFF,2013J,subpage,11.0,11.0
716292,FFF,2013J,oucontent,11.0,11.0
716858,FFF,2013J,url,18.0,18.0
716325,FFF,2013J,oucontent,3.0,3.0
716890,FFF,2013J,url,12.0,12.0
716919,FFF,2013J,url,20.0,20.0
716951,FFF,2013J,url,27.0,27.0
716256,FFF,2013J,oucontent,20.0,20.0
716289,FFF,2013J,oucontent,10.0,10.0
716854,FFF,2013J,url,18.0,18.0
716322,FFF,2013J,oucontent,5.0,5.0
716887,FFF,2013J,url,10.0,10.0
716916,FFF,2013J,url,20.0,20.0
716420,FFF,2013J,repeatactivity,8.0,8.0
716948,FFF,2013J,url,26.0,26.0
716253,FFF,2013J,oucontent,12.0,12.0
716286,FFF,2013J,oucontent,9.0,9.0
716319,FFF,2013J,oucontent,16.0,16.0
716884,FFF,2013J,url,3.0,3.0
716913,FFF,2013J,url,18.0,18.0
716244,FFF,2013J,oucontent,25.0,25.0
716945,FFF,2013J,url,25.0,25.0
716250,FFF,2013J,oucontent,11.0,11.0
716637,FFF,2013J,subpage,15.0,15.0
716283,FFF,2013J,oucontent,8.0,8.0
716669,FFF,2013J,subpage,18.0,18.0
716848,FFF,2013J,url,24.0,24.0
716315,FFF,2013J,oucontent,15.0,15.0
716881,FFF,2013J,url,2.0,2.0
716910,FFF,2013J,url,18.0,18.0
716241,FFF,2013J,oucontent,16.0,16.0
716942,FFF,2013J,url,24.0,24.0
716455,FFF,2013J,questionnaire,27.0,27.0
716813,FFF,2013J,resource,18.0,18.0
716280,FFF,2013J,oucontent,8.0,8.0
716845,FFF,2013J,url,20.0,20.0
716312,FFF,2013J,oucontent,28.0,28.0
716878,FFF,2013J,url,1.0,1.0
716907,FFF,2013J,url,18.0,18.0
716376,FFF,2013J,ouwiki,25.0,25.0
716939,FFF,2013J,url,23.0,23.0
716452,FFF,2013J,questionnaire,24.0,24.0
716810,FFF,2013J,resource,18.0,18.0
716277,FFF,2013J,oucontent,2.0,2.0
716842,FFF,2013J,url,22.0,22.0
716309,FFF,2013J,oucontent,26.0,26.0
716875,FFF,2013J,url,1.0,1.0
716343,FFF,2013J,oucontent,8.0,8.0
716904,FFF,2013J,url,18.0,18.0
716372,FFF,2013J,page,29.0,29.0
716936,FFF,2013J,url,23.0,23.0
716449,FFF,2013J,questionnaire,20.0,20.0
716274,FFF,2013J,oucontent,15.0,15.0
716839,FFF,2013J,url,21.0,21.0
716306,FFF,2013J,oucontent,25.0,25.0
716872,FFF,2013J,url,13.0,13.0
716340,FFF,2013J,oucontent,28.0,28.0
716901,FFF,2013J,url,18.0,18.0
716369,FFF,2013J,page,29.0,29.0
716933,FFF,2013J,url,22.0,22.0
716446,FFF,2013J,questionnaire,5.0,5.0
716657,FFF,2013J,subpage,14.0,14.0
716303,FFF,2013J,oucontent,22.0,22.0
716337,FFF,2013J,oucontent,9.0,9.0
716727,FFF,2013J,resource,28.0,28.0
716366,FFF,2013J,page,29.0,29.0
716930,FFF,2013J,url,22.0,22.0
716443,FFF,2013J,questionnaire,19.0,19.0
716962,FFF,2013J,url,28.0,28.0
716654,FFF,2013J,subpage,13.0,13.0
716300,FFF,2013J,oucontent,8.0,8.0
716334,FFF,2013J,oucontent,19.0,19.0
716898,FFF,2013J,url,16.0,16.0
716363,FFF,2013J,page,27.0,27.0
716927,FFF,2013J,url,21.0,21.0
716959,FFF,2013J,url,28.0,28.0
716265,FFF,2013J,oucontent,26.0,26.0
716651,FFF,2013J,subpage,18.0,18.0
716297,FFF,2013J,oucontent,16.0,16.0
716330,FFF,2013J,oucontent,11.0,11.0
716895,FFF,2013J,url,14.0,14.0
716360,FFF,2013J,page,12.0,12.0
716924,FFF,2013J,url,21.0,21.0
716437,FFF,2013J,quiz,10.0,10.0
716956,FFF,2013J,url,27.0,27.0
716648,FFF,2013J,subpage,12.0,12.0
716990,FFF,2013J,dualpane,7.0,7.0
716294,FFF,2013J,oucontent,13.0,13.0
716681,FFF,2013J,subpage,29.0,29.0
716327,FFF,2013J,oucontent,13.0,13.0
716892,FFF,2013J,url,13.0,13.0
716749,FFF,2013J,resource,4.0,4.0
716921,FFF,2013J,url,21.0,21.0
716953,FFF,2013J,url,27.0,27.0
716258,FFF,2013J,oucontent,23.0,23.0
716291,FFF,2013J,oucontent,11.0,11.0
716889,FFF,2013J,url,11.0,11.0
716746,FFF,2013J,resource,21.0,21.0
716918,FFF,2013J,url,20.0,20.0
716786,FFF,2013J,resource,13.0,13.0
716950,FFF,2013J,url,27.0,27.0
716255,FFF,2013J,oucontent,28.0,28.0
716642,FFF,2013J,subpage,16.0,16.0
716288,FFF,2013J,oucontent,11.0,11.0
716853,FFF,2013J,url,15.0,15.0
716321,FFF,2013J,oucontent,6.0,6.0
716886,FFF,2013J,url,10.0,10.0
716915,FFF,2013J,url,20.0,20.0
716409,FFF,2013J,repeatactivity,6.0,6.0
716947,FFF,2013J,url,26.0,26.0
716252,FFF,2013J,oucontent,7.0,7.0
716639,FFF,2013J,subpage,9.0,9.0
716285,FFF,2013J,oucontent,9.0,9.0
716850,FFF,2013J,url,21.0,21.0
716883,FFF,2013J,url,3.0,3.0
716912,FFF,2013J,url,18.0,18.0
716243,FFF,2013J,oucontent,26.0,26.0
716944,FFF,2013J,url,25.0,25.0
716249,FFF,2013J,oucontent,29.0,29.0
716636,FFF,2013J,subpage,8.0,8.0
716282,FFF,2013J,oucontent,8.0,8.0
716668,FFF,2013J,subpage,27.0,27.0
716847,FFF,2013J,url,27.0,27.0
716314,FFF,2013J,oucontent,28.0,28.0
716880,FFF,2013J,url,2.0,2.0
716909,FFF,2013J,url,18.0,18.0
716240,FFF,2013J,oucontent,1.0,1.0
716941,FFF,2013J,url,23.0,23.0
716454,FFF,2013J,questionnaire,24.0,24.0
716812,FFF,2013J,resource,18.0,18.0
716665,FFF,2013J,subpage,24.0,24.0
716844,FFF,2013J,url,9.0,9.0
716311,FFF,2013J,oucontent,1.0,1.0
716877,FFF,2013J,url,1.0,1.0
716345,FFF,2013J,oucontent,15.0,15.0
716906,FFF,2013J,url,18.0,18.0
716767,FFF,2013J,resource,11.0,11.0
716938,FFF,2013J,url,23.0,23.0
716451,FFF,2013J,questionnaire,23.0,23.0
716809,FFF,2013J,resource,18.0,18.0
716276,FFF,2013J,oucontent,2.0,2.0
716841,FFF,2013J,url,10.0,10.0
716308,FFF,2013J,oucontent,26.0,26.0
716874,FFF,2013J,url,1.0,1.0
716903,FFF,2013J,url,18.0,18.0
716371,FFF,2013J,page,29.0,29.0
716763,FFF,2013J,resource,13.0,13.0
716935,FFF,2013J,url,23.0,23.0
716448,FFF,2013J,questionnaire,19.0,19.0
716273,FFF,2013J,oucontent,15.0,15.0
716659,FFF,2013J,subpage,19.0,19.0
716305,FFF,2013J,oucontent,6.0,6.0
716339,FFF,2013J,oucontent,27.0,27.0
716900,FFF,2013J,url,18.0,18.0
716368,FFF,2013J,page,29.0,29.0
716932,FFF,2013J,url,22.0,22.0
716445,FFF,2013J,questionnaire,5.0,5.0
716656,FFF,2013J,subpage,6.0,6.0
716302,FFF,2013J,oucontent,21.0,21.0
716336,FFF,2013J,oucontent,11.0,11.0
716365,FFF,2013J,page,27.0,27.0
716929,FFF,2013J,url,22.0,22.0
716442,FFF,2013J,questionnaire,27.0,27.0
716961,FFF,2013J,url,28.0,28.0
716267,FFF,2013J,oucontent,28.0,28.0
716653,FFF,2013J,subpage,4.0,4.0
716995,FFF,2013J,dualpane,5.0,5.0
716299,FFF,2013J,oucontent,9.0,9.0
716333,FFF,2013J,oucontent,10.0,10.0
716897,FFF,2013J,url,18.0,18.0
716362,FFF,2013J,page,19.0,19.0
